TxId,Sender,Receiver,Amount,Currency,Timestamp,Country,Purpose,Channel
a594054c-3990-4c3f-af0c-2185982b1696,GB31TOIR71305087118317,GB70FMHN82192022467322,4070.29,USD,2016-06-20 20:16:06,MH,gift,atm
dd45e935-476f-4157-9fa6-36b22585d288,GB72AUYD91391975425805,GB62YBVL68408941287011,3572.39,GBP,1984-11-02 03:10:26,SD,loan,branch
15ac6605-2105-4f57-8b64-148e731b4212,GB73NLXP04224909306022,GB24POAI49426781856399,842.85,GBP,1997-01-04 07:27:05,GT,salary,branch
833049e7-a475-4a3f-aeee-2a730dd4b876,GB14PFWD24492589445505,GB79GXRH58078425773699,1889.13,USD,1985-03-24 15:56:08,MD,refund,atm
54dd0b1c-ee6d-4cf9-8b45-2ae4750e27f0,GB96IMMP05092048889673,GB61VTHE50417043660828,1940.98,GBP,2022-01-22 17:48:50,PL,invoice payment,mobile
4af7e76d-0a73-48fb-8ab8-0c5f6a5ae5d4,GB42SNRU51255720675764,GB31JRQM38531037041212,3482.81,GBP,1970-02-01 19:57:14,LT,refund,branch
29dc1111-e38f-406d-924d-9e9e51ef7831,GB31DCHB88532663705436,GB58EYWM04710689272052,3849.19,GBP,1990-12-24 13:34:03,GE,invoice payment,online
14fe36ca-07af-4e37-b27e-6ceea1bccca5,GB10GPWO20943640040929,GB35CJMD51983132761802,3933.44,USD,1984-11-04 17:44:12,RO,loan,atm
3c4df0b7-6fe8-44f3-9b0d-228c4d97a9c5,GB29ZWIF00606493987840,GB79ZVYM43288597290307,2752.84,GBP,1998-03-13 04:00:37,SV,salary,atm
77767bcb-a952-442c-a6d8-3e007ff779f2,GB93CORK01977150432244,GB13ZPWL33874955775567,3604.73,GBP,2009-12-15 19:44:36,MM,loan,online
08326650-b905-4708-8e0e-3c3ff302b6e7,GB91IDQC07660315461834,GB23LBLO97061337910195,3957.02,EUR,2007-06-25 14:53:31,MW,loan,atm
929e68d4-368a-40cf-986c-f9cb5d6d95e6,GB19FRMN35669011810777,GB44WCMF32977601187946,782.16,USD,2021-08-18 01:05:20,GQ,gift,branch
9dafd1f8-09d9-4e3b-b29a-2a8c5ce2b481,GB77ZBFT99796423509095,GB48XPJK86475919052279,4540.36,GBP,2006-12-27 16:08:03,IS,salary,online
ff682e41-ee16-4c41-a0a9-8fd40d76db16,GB48VABQ64278768705334,GB72QEIS53311080648170,2033.12,GBP,2022-07-15 19:41:59,MR,gift,branch
eab76f4e-6abe-4523-aba9-90c146aad3f9,GB29TQMW51894402841493,GB06ACFO31080691192994,323.43,USD,1974-10-31 17:38:15,ML,refund,atm
0e529c00-269a-4d13-bf33-3ff13f399691,GB17TZGB01445308659773,GB83KNZB40108818193053,4846.83,USD,1979-11-16 18:36:28,YE,invoice payment,branch
a764ba86-f542-4bec-ad97-ac9cb8904725,GB34ECVX76214273833372,GB11SDKH03717388784183,281.65,EUR,2013-01-20 04:32:47,VA,crypto purchase,online
9e383aa9-5733-40f9-951f-3ff13848748e,GB40JZFQ45968478135234,GB89DHND85962199093337,379.38,GBP,1992-07-12 13:35:33,LR,loan,online
6642d186-23c3-4244-a2ec-4caec46eefa1,GB05NYFN87615179812813,GB98NCTE54674169599511,98.92,USD,2009-05-02 02:56:23,GH,salary,branch
ca12da4f-dc5d-416f-83c9-cc1ed5656a97,GB97HCOF76291020249509,GB93QDSY20504965207729,1939.8,USD,1973-08-30 17:36:17,GH,invoice payment,branch
820dfa25-c644-4f35-b8dc-041cf37becef,GB33QGWK10872110416340,GB65QYFQ15217211792509,4737.3,USD,1988-06-28 02:10:06,NO,invoice payment,atm
a42da30e-fd22-4f98-b6bc-bc525721bb74,GB54CGHO57906090142554,GB60ESWQ53759602476987,3346.77,EUR,2005-01-17 08:15:11,IE,crypto purchase,atm
01f46656-4136-4fd7-8f8f-0213d8e95747,GB12ZXEX39792802264574,GB77SIWZ77744115665750,137.36,USD,1978-01-24 02:54:09,NI,loan,online
41ae1a48-7859-433e-a074-5ebb4949d519,GB52GDWX89899345790086,GB38YDZZ90981326396079,1364.29,USD,2013-12-04 17:30:21,MN,invoice payment,online
1b80fe3e-7735-43b2-b2f3-d7029d9818b1,GB15RVCI48418547937580,GB34DTDG07815798258232,3152.87,EUR,1982-12-31 13:13:31,CM,loan,online
5e7e7ab0-94c1-4bfd-8e5c-e1475b66a624,GB77GPPV53003756398025,GB69SWWJ99950756253443,1021.59,USD,2019-03-18 10:48:35,LC,loan,online
d1748516-4d0b-46e5-978f-bbce67405fac,GB73IRFS09035270459540,GB98VKCO41211225309136,2627.02,USD,1999-08-31 14:48:36,HU,crypto purchase,mobile
3a96f48e-a9ed-4888-ae23-6d958c098cb0,GB53NNST38022368792550,GB06ZEBH63224016208771,626.84,GBP,1983-04-10 17:33:21,BI,gift,online
c887f74a-464d-4e8a-9011-dd60ed05583e,GB20AEXB52821489052619,GB38MUOH58307472687409,3620.85,USD,2024-09-15 12:39:37,KN,loan,branch
76bdcaeb-c741-461a-bb8b-10a07cdf406e,GB47TUFL97266087034508,GB38ZQAD89894331959158,2226.45,EUR,1972-12-13 14:09:51,SO,loan,atm
ac468d47-c881-445c-95f0-74d84a95aac5,GB61QMIY70077642242928,GB71EQJR72082014174806,237.72,EUR,1990-11-17 11:07:43,IR,loan,online
2fea50e6-9dbb-4145-aad8-4919ba197988,GB79MENA35757504623753,GB32RRLU19972202404565,3310.98,GBP,2021-07-09 09:41:02,MV,crypto purchase,online
09d6aaf3-80b1-4b59-acdb-8760fd5ad908,GB64NQEF31819843071727,GB63CBVK86403477113822,3700.74,EUR,1980-10-11 15:06:34,UY,salary,atm
cd471810-5617-447f-8b59-fdec2f9a4657,GB53QASI38085244891210,GB43ZSXC12384219611676,1174.13,USD,2010-08-07 04:10:59,MW,salary,mobile
a6cf4b86-0033-453e-883e-bcdeec1aba61,GB93PXUI85709070947318,GB68HDHK74627986210668,158.67,EUR,1973-05-03 15:46:10,OM,gift,online
